hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
1, 0.00000, 11.225, 1.69732, 9.91515, 3.28947, 9.19126, 1.3591, 0, 0
2, 0.00000, 8.29627, 0.287553, 8.9519, 2.63821, 6.58834, 2.03072, 0, 0
3, 0.00000, 8.181, 0.126212, 8.70492, 2.7647, 6.15796, 1.89923, 0, 0
4, 0.00000, 5.7454, 1.09575, 4.10228, 1.79942, 4.31446, 0.0246134, 0, 0
5, 0.00000, 6.08415, 0.99881, 4.80101, 1.88302, 4.67685, 0.32969, 0, 0
6, 0.00000, 6.17806, 1.34696, 4.48451, 1.7802, 4.95611, 0.0969277, 0, 0
7, 0.00000, 7.61915, 0.738246, 7.06983, 2.42185, 5.88645, 1.10436, 0, 0
8, 0.00000, 18.7163, 1.68771, 18.0642, 6.00493, 14.6515, 3.2818, 0, 0
9, 0.00000, 13.8549, 1.20445, 12.8657, 4.58403, 10.4335, 2.03763, 0, 0
10, 0.00000, 10.3857, 1.9365, 8.30039, 3.03398, 8.39266, 0.679301, 0, 0
11, 0.00000, 16.1818, 3.14492, 9.61812, 5.78737, 10.6117, -1.21807, 0, 0
12, 0.00000, 15.9827, 5.81388, 13.667, 2.25491, 17.9071, 2.02877, 0, 0
13, 0.00000, 14.8148, 4.59263, 15.9698, 1.63302, 17.9554, 4.11295, 0, 0
14, 0.00000, 12.6726, 3.10696, 8.59051, 3.64682, 10.1641, -0.158303, 0, 0
15, 0.00000, 8.52353, 2.61719, 6.60256, 1.74084, 8.32203, 0.515388, 0, 0
16, 0.00000, 10.9367, 2.34819, 8.82188, 2.93132, 9.37436, 0.808254, 0, 0
17, 0.00000, 18.9094, 3.42564, 17.184, 5.06658, 16.6257, 2.75199, 0, 0
18, 0.00000, 29.1464, 10.9049, 27.2921, 3.54914, 34.5896, 5.62054, 0, 0
19, 0.00000, 21.7605, 9.98063, 20.6643, 0.995301, 28.994, 4.53802, 0, 0
20, 0.00000, 24.5421, 6.77766, 18.4971, 6.10167, 22.1054, 1.20453, 0, 0
21, 0.00000, 24.8733, 5.71611, 20.7815, 6.4304, 22.2091, 2.52972, 0, 0
22, 0.00000, 27.1783, 6.54953, 26.8894, 5.54527, 27.9035, 5.79714, 0, 0
23, 0.00000, 29.479, 5.93874, 29.1134, 6.99468, 28.3818, 6.15014, 0, 0
24, 0.00000, 19.2488, 7.66142, 19.8998, 1.19479, 25.1745, 4.99153, 0, 0
