hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 2.96942, 0.602222, 5.13661, 1.04221, 8.1158, 1.64533
2, 0.00000, 1.51953, 0.308346, 6.26892, 1.27175, 7.79455, 1.5807
3, 0.00000, 1.04215, 0.21152, 6.24584, 1.26704, 7.29228, 1.47897
4, 0.00000, 1.20025, 0.243612, 1.50182, 0.304734, 2.7037, 0.548451
5, 0.00000, 1.31574, 0.26704, 2.1735, 0.441173, 3.49119, 0.708402
6, 0.00000, 1.72755, 0.350546, 1.4994, 0.304372, 3.22878, 0.655088
7, 0.00000, 1.43397, 0.291024, 4.22285, 0.856498, 5.66113, 1.14793
8, 0.00000, 3.63479, 0.737027, 11.1996, 2.26906, 14.8638, 3.0088
9, 0.00000, 2.2201, 0.450419, 7.87291, 1.59583, 10.1061, 2.04746
10, 0.00000, 2.79608, 0.56713, 3.57771, 0.725844, 6.38166, 1.29375
11, 0.00000, 1.59527, 0.323772, 2.56454, 0.520534, 4.16397, 0.844613
12, 0.00000, 11.136, 2.25053, 3.2887, 0.66728, 14.4519, 2.9203
13, 0.00000, 11.4949, 2.32276, 6.74678, 1.36739, 18.3042, 3.69589
14, 0.00000, 3.65281, 0.740417, 2.22197, 0.450989, 5.88051, 1.19194
15, 0.00000, 4.40168, 0.892513, 1.63025, 0.330809, 6.03686, 1.22383
16, 0.00000, 3.6901, 0.747996, 3.50872, 0.712103, 7.20706, 1.46083
17, 0.00000, 6.48068, 1.31198, 8.51472, 1.72552, 15.0367, 3.0413
18, 0.00000, 22.1548, 4.45786, 7.90704, 1.60305, 30.1914, 6.07279
19, 0.00000, 21.0555, 4.24042, 4.12658, 0.837346, 25.2415, 5.08326
20, 0.00000, 9.93635, 2.00872, 5.32201, 1.07964, 15.2939, 3.09167
21, 0.00000, 9.3591, 1.89291, 8.38508, 1.69984, 17.7991, 3.59757
22, 0.00000, 14.3636, 2.89777, 12.4243, 2.51684, 26.9191, 5.42655
23, 0.00000, 12.9598, 2.61801, 14.7139, 2.98023, 27.8053, 5.61041
24, 0.00000, 17.6533, 3.55816, 6.25248, 1.26842, 23.9777, 4.83325
