hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.359, -30.3258, 126.097, -150.391, 125.946, 89.7605, 1.61962E-7, 59.6843, 1.89362, -161.869, 1.89588, 78.2823
2, 0.00000, 126.658, -30.1835, 126.053, -150.325, 125.999, 89.7697, 1.62226E-7, 59.8102, 1.89427, -161.803, 1.89513, 78.2915
3, 0.00000, 126.713, -30.1729, 126.039, -150.327, 126.06, 89.7848, 1.62331E-7, 59.8079, 1.89449, -161.805, 1.89421, 78.3066
4, 0.00000, 126.681, -30.1831, 126.63, -150.191, 126.64, 89.9215, 1.62425E-7, 59.8273, 1.88576, -161.67, 1.88566, 78.4433
5, 0.00000, 126.674, -30.1836, 126.547, -150.208, 126.534, 89.8985, 1.62366E-7, 59.8271, 1.88687, -161.686, 1.88705, 78.4203
6, 0.00000, 126.592, -30.2049, 126.622, -150.198, 126.578, 89.9057, 1.62323E-7, 59.8123, 1.88578, -161.676, 1.88643, 78.4275
7, 0.00000, 126.659, -30.1989, 126.216, -150.277, 126.185, 89.8375, 1.62293E-7, 59.8001, 23.069, -161.753, 23.0744, 78.3616
8, 0.00000, 125.941, -30.4627, 124.852, -150.685, 124.938, 89.5647, 1.6131E-7, 59.5127, 23.8292, -162.162, 23.8127, 78.0879
9, 0.00000, 126.29, -30.3455, 125.444, -150.509, 125.569, 89.707, 1.61782E-7, 59.6351, 14.3887, -161.986, 14.3744, 78.2294
10, 0.00000, 126.307, -30.3213, 126.169, -150.343, 126.118, 89.8147, 1.61928E-7, 59.6893, 1.89277, -161.821, 1.89352, 78.3365
11, 0.00000, 125.854, -30.5031, 125.692, -150.53, 126.424, 89.8794, 1.61543E-7, 59.4837, 2.37144, -162.008, 2.35814, 78.401
12, 0.00000, 124.963, -30.6335, 126.011, -150.399, 125.003, 89.5762, 1.60292E-7, 59.4796, 7.40258, -161.877, 7.4622, 78.0985
13, 0.00000, 125.168, -30.5378, 125.708, -150.391, 124.387, 89.4656, 1.60334E-7, 59.5669, 8.35894, -161.869, 8.44773, 77.9878
14, 0.00000, 125.948, -30.4308, 126.133, -150.388, 126.207, 89.8283, 1.61595E-7, 59.5902, 1.89307, -161.866, 1.89199, 78.3501
15, 0.00000, 126.157, -30.3191, 126.52, -150.237, 126.181, 89.8241, 1.61791E-7, 59.7265, 1.88737, -161.715, 1.89235, 78.3458
16, 0.00000, 126.164, -30.3536, 126.196, -150.349, 126.044, 89.7885, 1.61762E-7, 59.6727, 1.89203, -161.827, 1.89435, 78.3103
17, 0.00000, 125.532, -30.5634, 125.158, -150.619, 124.865, 89.5619, 1.60863E-7, 59.4611, 8.63088, -162.097, 8.65111, 78.0841
18, 0.00000, 123.057, -31.1534, 125.026, -150.721, 122.791, 89.1026, 1.57858E-7, 59.0621, 8.36637, -162.199, 8.5182, 77.6255
19, 0.00000, 123.543, -30.963, 125.909, -150.457, 123.535, 89.2506, 1.58485E-7, 59.2776, 4.54724, -161.935, 4.63466, 77.7724
20, 0.00000, 124.477, -30.8525, 125.117, -150.714, 124.918, 89.5495, 1.59777E-7, 59.213, 5.96486, -162.192, 5.97448, 78.0714
21, 0.00000, 124.612, -30.7951, 124.73, -150.765, 124.555, 89.4757, 1.59838E-7, 59.238, 7.03255, -162.242, 7.0423, 77.9986
22, 0.00000, 124.093, -30.8732, 124.332, -150.813, 123.26, 89.2022, 1.5898E-7, 59.2188, 17.5002, -162.29, 17.6522, 77.7253
23, 0.00000, 124.191, -30.8831, 123.97, -150.937, 123.193, 89.1727, 1.59087E-7, 59.1747, 18.1083, -162.414, 18.2225, 77.6955
24, 0.00000, 124.075, -30.7826, 125.701, -150.444, 123.749, 89.2872, 1.59063E-7, 59.3891, 1.8996, -161.922, 1.92957, 77.809
