hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
1, 0.00000, 126.859, -30.345, 126.824, -150.42, 126.889, 89.7187, 0, 0, 80.4133, 138.185, 97.993, 18.114, 65.5633, -101.717, 28.1239, -135.008
2, 0.00000, 126.929, -30.1937, 126.853, -150.358, 126.894, 89.73, 0, 0, 45.1354, 138.333, 83.5886, 18.1834, 62.9548, -101.711, 33.3849, 170.424
3, 0.00000, 126.935, -30.1809, 126.852, -150.361, 126.902, 89.7475, 0, 0, 42.1509, 138.343, 84.2741, 18.1808, 58.8775, -101.696, 36.7912, 174.785
4, 0.00000, 126.93, -30.1923, 126.925, -150.203, 126.975, 89.9066, 0, 0, 44.8244, 138.332, 47.2585, 18.3244, 21.7601, -101.552, 24.3711, -106.741
5, 0.00000, 126.929, -30.1932, 126.915, -150.223, 126.962, 89.8794, 0, 0, 45.0309, 138.332, 51.9564, 18.304, 28.1137, -101.58, 21.239, -118.228
6, 0.00000, 126.918, -30.2175, 126.921, -150.21, 126.966, 89.8884, 0, 0, 50.702, 138.31, 48.8601, 18.316, 25.9958, -101.571, 23.84, -97.9775
7, 0.00000, 126.922, -30.2086, 126.878, -150.305, 126.928, 89.8041, 0, 0, 48.614, 138.316, 71.1634, 18.2299, 45.6553, -101.642, 24.1811, -155.896
8, 0.00000, 126.789, -30.4965, 126.663, -150.762, 126.779, 89.4824, 0, 0, 115.712, 138.044, 177.688, 17.8074, 120.644, -101.917, 59.7944, -166.798
9, 0.00000, 126.849, -30.3672, 126.757, -150.564, 126.857, 89.6493, 0, 0, 85.5697, 138.165, 131.611, 17.9895, 81.7539, -101.774, 48.1099, -158.429
10, 0.00000, 126.86, -30.343, 126.847, -150.37, 126.917, 89.779, 0, 0, 79.974, 138.189, 86.3166, 18.164, 51.4916, -101.662, 32.1207, -111.933
11, 0.00000, 126.769, -30.5395, 126.752, -150.573, 126.951, 89.8558, 0, 0, 125.779, 138.006, 133.707, 17.9754, 33.5468, -101.598, 96.3997, -106.238
12, 0.00000, 126.69, -30.707, 126.818, -150.432, 126.787, 89.4968, 0, 0, 164.854, 137.88, 100.653, 18.1064, 117.257, -101.884, 57.5401, -28.1025
13, 0.00000, 126.738, -30.6051, 126.816, -150.439, 126.724, 89.361, 0, 0, 141.071, 137.983, 102.281, 18.1114, 148.918, -102, 43.1809, 26.7597
14, 0.00000, 126.804, -30.4654, 126.826, -150.415, 126.925, 89.7963, 0, 0, 108.516, 138.079, 96.8709, 18.1212, 47.431, -101.644, 56.2014, -91.7842
15, 0.00000, 126.858, -30.348, 126.902, -150.252, 126.922, 89.791, 0, 0, 81.1517, 138.192, 58.7026, 18.2763, 48.6977, -101.651, 28.7812, -59.5585
16, 0.00000, 126.843, -30.3809, 126.845, -150.374, 126.903, 89.7503, 0, 0, 88.8027, 138.157, 87.331, 18.1587, 58.1846, -101.687, 29.9051, -99.7019
17, 0.00000, 126.734, -30.6127, 126.7, -150.684, 126.777, 89.4762, 0, 0, 142.832, 137.943, 159.506, 17.8748, 122.058, -101.913, 32.5285, -129.201
18, 0.00000, 126.406, -31.2972, 126.65, -150.789, 126.524, 88.9365, 0, 0, 302.358, 137.358, 183.811, 17.7708, 247.729, -102.346, 102.111, -10.6798
19, 0.00000, 126.506, -31.091, 126.79, -150.492, 126.609, 89.1142, 0, 0, 254.335, 137.556, 114.698, 18.0472, 206.37, -102.197, 122.35, -2.5599
20, 0.00000, 126.578, -30.941, 126.655, -150.777, 126.773, 89.467, 0, 0, 219.371, 137.65, 181.203, 17.7847, 124.165, -101.916, 83.0451, -79.4412
21, 0.00000, 126.608, -30.8794, 126.623, -150.845, 126.732, 89.3787, 0, 0, 204.978, 137.709, 196.909, 17.7315, 144.763, -101.995, 56.599, -95.9223
22, 0.00000, 126.56, -30.9789, 126.593, -150.91, 126.579, 89.0542, 0, 0, 228.147, 137.64, 212.047, 17.6792, 220.368, -102.263, 13.6413, -11.7526
23, 0.00000, 126.557, -30.984, 126.527, -151.047, 126.563, 89.0225, 0, 0, 229.32, 137.622, 243.947, 17.5519, 227.78, -102.302, 15.6837, -159.146
24, 0.00000, 126.602, -30.8923, 126.792, -150.49, 126.63, 89.1594, 0, 0, 208.013, 137.746, 114.147, 18.0625, 195.865, -102.166, 88.2195, 10.5824
