hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
1, 0.00000, 12.9162, 0.761599, 13.2637, 3.33955, 10.8574, 2.35155, 0, 0
2, 0.00000, 9.98732, -0.652681, 12.3025, 2.68581, 8.25362, 3.02162, 0, 0
3, 0.00000, 9.87246, -0.81398, 12.0535, 2.81232, 7.82244, 2.88807, 0, 0
4, 0.00000, 7.41747, 0.152254, 7.42493, 1.82524, 5.97235, 0.995243, 0, 0
5, 0.00000, 7.75846, 0.0559031, 8.12721, 1.91185, 6.33553, 1.30326, 0, 0
6, 0.00000, 7.8504, 0.40393, 7.8088, 1.80704, 6.61447, 1.06949, 0, 0
7, 0.00000, 7.61929, 0.738145, 7.07028, 2.42177, 5.88674, 1.10453, 0, 0
8, 0.00000, 20.3813, 2.69769, 19.7983, 5.05787, 18.0459, 3.37294, 0, 0
9, 0.00000, 15.5156, 2.20017, 14.5761, 3.6347, 13.8035, 2.10384, 0, 0
10, 0.00000, 12.0481, 2.93118, 9.99544, 2.0817, 11.7575, 0.72879, 0, 0
11, 0.00000, 17.8443, 4.15686, 11.3007, 4.83477, 13.9857, -1.17109, 0, 0
12, 0.00000, 17.6734, 6.86127, 15.4125, 1.30181, 21.3577, 2.12329, 0, 0
13, 0.00000, 16.5057, 5.63124, 17.7353, 0.681721, 21.4069, 4.22117, 0, 0
14, 0.00000, 17.6797, 4.19227, 11.9367, 3.68559, 15.2472, -1.0347, 0, 0
15, 0.00000, 13.5149, 3.67448, 9.9459, 1.76606, 13.3833, -0.370678, 0, 0
16, 0.00000, 15.9369, 3.41561, 12.1725, 2.96707, 14.4433, -0.0687056, 0, 0
17, 0.00000, 23.9467, 4.55269, 20.5801, 5.13302, 21.761, 1.92727, 0, 0
18, 0.00000, 32.5246, 11.0644, 28.9455, 4.5755, 36.3549, 4.7198, 0, 0
19, 0.00000, 25.1128, 10.1095, 22.3152, 1.99438, 30.7421, 3.62856, 0, 0
20, 0.00000, 27.9177, 6.90082, 20.1527, 7.12866, 23.8384, 0.289994, 0, 0
21, 0.00000, 26.612, 4.79165, 24.1912, 6.53289, 23.8938, 3.56595, 0, 0
22, 0.00000, 28.9282, 5.62551, 30.3482, 5.66337, 29.6053, 6.87418, 0, 0
23, 0.00000, 31.2429, 5.01938, 32.5781, 7.12836, 30.084, 7.23038, 0, 0
24, 0.00000, 20.9524, 6.7255, 23.3313, 1.26482, 26.8708, 6.05497, 0, 0
