hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.359, -30.3259, 125.701, -150.525, 125.549, 89.6268, 1.61869E-7, 59.659, 1.89957, -162.003, 1.90186, 78.1485
2, 0.00000, 126.658, -30.1835, 125.657, -150.458, 125.602, 89.636, 1.62152E-7, 59.7889, 1.90023, -161.937, 1.90112, 78.1578
3, 0.00000, 126.713, -30.173, 125.643, -150.461, 125.664, 89.6513, 1.62231E-7, 59.7815, 1.90046, -161.939, 1.90019, 78.173
4, 0.00000, 126.681, -30.1832, 126.238, -150.324, 126.248, 89.7889, 1.62331E-7, 59.8079, 1.89172, -161.802, 1.89162, 78.3107
5, 0.00000, 126.673, -30.1837, 126.155, -150.341, 126.141, 89.7658, 1.62279E-7, 59.8033, 1.89272, -161.819, 1.89291, 78.2875
6, 0.00000, 126.592, -30.205, 126.23, -150.331, 126.186, 89.773, 1.62209E-7, 59.7948, 1.89165, -161.809, 1.8923, 78.2948
7, 0.00000, 126.659, -30.1989, 126.216, -150.277, 126.185, 89.8375, 1.62299E-7, 59.8014, 23.0697, -161.755, 23.0755, 78.3601
8, 0.00000, 125.542, -30.5971, 124.852, -150.685, 124.532, 89.4286, 1.60772E-7, 59.424, 23.8292, -162.162, 23.8902, 77.952
9, 0.00000, 125.894, -30.4792, 125.444, -150.509, 125.168, 89.5721, 1.6127E-7, 59.5465, 14.3887, -161.986, 14.4205, 78.0945
10, 0.00000, 125.91, -30.455, 126.168, -150.343, 125.721, 89.6807, 1.61418E-7, 59.5952, 1.8928, -161.821, 1.8996, 78.2024
11, 0.00000, 125.455, -30.6375, 125.692, -150.53, 126.029, 89.746, 1.61001E-7, 59.3879, 2.37143, -162.008, 2.36559, 78.2674
12, 0.00000, 124.553, -30.7705, 126.011, -150.399, 124.594, 89.4393, 1.59737E-7, 59.3804, 7.40259, -161.877, 7.48664, 77.9617
13, 0.00000, 124.76, -30.6744, 125.708, -150.391, 123.973, 89.3277, 1.59809E-7, 59.4805, 8.35895, -161.869, 8.4759, 77.85
14, 0.00000, 125.309, -30.6926, 125.896, -150.514, 125.809, 89.6941, 1.60829E-7, 59.3696, 1.89664, -161.993, 1.89798, 78.2159
15, 0.00000, 125.521, -30.58, 126.285, -150.363, 125.784, 89.6899, 1.61032E-7, 59.4967, 1.89094, -161.841, 1.89833, 78.2117
16, 0.00000, 125.527, -30.6147, 125.96, -150.475, 125.645, 89.654, 1.61016E-7, 59.4452, 1.89554, -161.953, 1.90032, 78.1758
17, 0.00000, 124.886, -30.8268, 124.917, -150.747, 124.456, 89.4251, 1.601E-7, 59.2332, 8.64754, -162.224, 8.67948, 77.9475
18, 0.00000, 122.806, -31.2836, 124.783, -150.849, 122.791, 89.1025, 1.57626E-7, 58.9251, 8.38263, -162.327, 8.51827, 77.6253
19, 0.00000, 123.295, -31.0923, 125.67, -150.583, 123.535, 89.2505, 1.58266E-7, 59.1383, 4.55586, -162.062, 4.63467, 77.7723
20, 0.00000, 124.232, -30.9813, 124.874, -150.842, 124.917, 89.5494, 1.59552E-7, 59.0734, 5.97643, -162.32, 5.97449, 78.0713
21, 0.00000, 124.612, -30.7952, 124.324, -150.901, 124.147, 89.3394, 1.5975E-7, 59.2193, 7.05602, -162.378, 7.06605, 77.8617
22, 0.00000, 124.093, -30.8733, 123.924, -150.949, 122.842, 89.0637, 1.58908E-7, 59.191, 17.5578, -162.426, 17.7121, 77.5869
23, 0.00000, 124.191, -30.8832, 123.559, -151.074, 122.775, 89.034, 1.58995E-7, 59.1487, 18.1685, -162.551, 18.2846, 77.5568
24, 0.00000, 124.075, -30.7827, 125.302, -150.578, 123.334, 89.1494, 1.58956E-7, 59.3722, 1.90565, -162.056, 1.93606, 77.6712
