hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 0.388835, 0.0789523, 2.37995E-11, -6.07863E-8, 0.388831, 0.0789514
2, 0.00000, 0.343841, 0.0698158, 4.06317E-11, -6.07951E-8, 0.343838, 0.0698159
3, 0.00000, 0.34383, 0.0698145, 3.75068E-11, -6.07907E-8, 0.343837, 0.0698157
4, 0.00000, 0.184507, 0.0374651, 6.08269E-12, -6.13116E-8, 0.184555, 0.0374626
5, 0.00000, 0.364846, 0.0740816, 1.2349E-11, -6.12406E-8, 0.364835, 0.0740796
6, 0.00000, 0.644266, 0.130812, 6.84564E-12, -6.12884E-8, 0.644276, 0.130816
7, 0.00000, 0.184511, 0.0374651, 1.0359E-11, -6.13285E-8, 0.18451, 0.0374636
8, 0.00000, 3.64684, 0.0700874, 4.9303E-11, -5.99994E-8, 3.64684, 0.0700773
9, 0.00000, 3.48728, 0.0377218, 3.72696E-11, -6.05591E-8, 3.48732, 0.0377288
10, 0.00000, 3.64684, 0.0700867, 2.08815E-11, -6.11594E-8, 3.64724, 0.0702464
11, 0.00000, 3.6465, 0.0700265, -6.09374E-11, -6.06948E-8, 3.64706, 0.0701956
12, 0.00000, 4.01822, 0.14542, 3.86832E-11, -6.08702E-8, 4.01818, 0.145405
13, 0.00000, 4.27247, 0.196996, 9.7079E-11, -6.06879E-8, 4.27247, 0.196985
14, 0.00000, 4.63506, 0.270543, -4.2306E-11, -6.08316E-8, 4.63505, 0.270556
15, 0.00000, 3.75562, 0.0921452, -5.93683E-12, -6.12072E-8, 3.75539, 0.0921154
16, 0.00000, 5.04101, 0.352888, -1.017E-11, -6.09115E-8, 5.04086, 0.352804
17, 0.00000, 4.69103, 0.281886, 1.20811E-11, -5.99938E-8, 4.69102, 0.281878
18, 0.00000, 0.868277, 0.176283, 2.74837E-11, -5.96239E-8, 0.868275, 0.176284
19, 0.00000, 1.64734, 0.334437, 3.12538E-11, -6.04222E-8, 1.64734, 0.334437
20, 0.00000, 3.63648, 0.738067, -8.29033E-11, -5.98391E-8, 3.63646, 0.738074
21, 0.00000, 1.41903, 0.288094, -6.45916E-12, -5.94296E-8, 1.41901, 0.288085
22, 0.00000, 5.27172, 1.0697, 6.7546E-11, -5.90442E-8, 5.27173, 1.06965
23, 0.00000, 2.18651, 0.44386, 6.30294E-11, -5.87448E-8, 2.18653, 0.443861
24, 0.00000, 3.07632, 0.624418, 8.70045E-11, -6.01929E-8, 3.07638, 0.624431
