hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
1, 0.00000, 126.859, -30.3451, 126.822, -150.536, 126.887, 89.6029, 0, 0, 80.4133, 138.185, 123.979, 20.4052, 91.666, -98.5801, 43.0404, -171.718
2, 0.00000, 126.929, -30.1938, 126.851, -150.474, 126.892, 89.6143, 0, 0, 45.1354, 138.332, 109.611, 20.7898, 89.0397, -98.4773, 58.837, 161
3, 0.00000, 126.935, -30.181, 126.85, -150.477, 126.9, 89.6319, 0, 0, 42.151, 138.343, 110.301, 20.7703, 84.9443, -98.3015, 61.7397, 164.092
4, 0.00000, 126.93, -30.1924, 126.923, -150.317, 126.974, 89.7919, 0, 0, 44.8244, 138.332, 73.1224, 22.2802, 47.7304, -95.4301, 31.3045, -161.357
5, 0.00000, 126.929, -30.1933, 126.914, -150.338, 126.961, 89.7646, 0, 0, 45.0309, 138.332, 77.834, 22.014, 54.0831, -96.1905, 33.1229, -170.715
6, 0.00000, 126.918, -30.2175, 126.92, -150.324, 126.965, 89.7737, 0, 0, 50.702, 138.31, 74.7208, 22.1845, 51.9638, -95.9571, 27.8878, -158.43
7, 0.00000, 126.922, -30.2086, 126.878, -150.305, 126.928, 89.8041, 0, 0, 48.614, 138.316, 71.1657, 18.2305, 45.6597, -101.641, 24.1816, -155.905
8, 0.00000, 126.785, -30.6129, 126.663, -150.762, 126.776, 89.3643, 0, 0, 141.891, 140.038, 177.688, 17.8073, 147.214, -99.9952, 34.8724, -179.188
9, 0.00000, 126.846, -30.4828, 126.757, -150.564, 126.854, 89.5324, 0, 0, 111.61, 140.726, 131.611, 17.9894, 108.072, -99.1216, 22.1265, -168.014
10, 0.00000, 126.858, -30.4587, 126.847, -150.37, 126.915, 89.6629, 0, 0, 106.032, 140.892, 86.3184, 18.1652, 77.6797, -97.9317, 20.1171, -56.9242
11, 0.00000, 126.766, -30.6558, 126.752, -150.573, 126.95, 89.7403, 0, 0, 151.941, 139.859, 133.706, 17.9748, 59.6377, -96.71, 80.0867, -92.9049
12, 0.00000, 126.685, -30.826, 126.818, -150.432, 126.784, 89.3779, 0, 0, 191.597, 139.335, 100.654, 18.1063, 144.005, -99.914, 75.8134, -10.8543
13, 0.00000, 126.734, -30.7237, 126.816, -150.439, 126.719, 89.2411, 0, 0, 167.754, 139.66, 102.281, 18.1113, 175.892, -100.405, 70.4252, 27.5877
14, 0.00000, 126.797, -30.6977, 126.823, -150.531, 126.923, 89.6801, 0, 0, 160.913, 141.564, 122.767, 20.4314, 73.6443, -97.702, 72.9542, -73.3764
15, 0.00000, 126.853, -30.5794, 126.9, -150.366, 126.921, 89.6749, 0, 0, 133.415, 142.439, 84.5154, 21.6801, 74.8809, -97.7775, 53.5443, -45.7614
16, 0.00000, 126.837, -30.6125, 126.843, -150.489, 126.901, 89.6338, 0, 0, 141.079, 142.162, 113.193, 20.6729, 84.4356, -98.2609, 46.4264, -67.662
17, 0.00000, 126.726, -30.8466, 126.696, -150.8, 126.773, 89.3575, 0, 0, 195.516, 140.776, 185.588, 19.3665, 148.761, -100.01, 38.7468, -86.6968
18, 0.00000, 126.398, -31.416, 126.645, -150.905, 126.524, 88.9364, 0, 0, 329.03, 138.149, 209.967, 19.0777, 247.731, -102.347, 109.795, -24.858
19, 0.00000, 126.5, -31.209, 126.787, -150.608, 126.609, 89.1141, 0, 0, 280.841, 138.501, 140.634, 20.0507, 206.371, -102.197, 126.115, -14.9766
20, 0.00000, 126.573, -31.0583, 126.65, -150.894, 126.773, 89.4669, 0, 0, 245.717, 138.75, 207.389, 19.1098, 124.166, -101.916, 109.372, -82.4262
21, 0.00000, 126.608, -30.8794, 126.618, -150.962, 126.727, 89.2604, 0, 0, 204.97, 137.709, 223.387, 18.9573, 171.366, -100.365, 50.8724, -124.501
22, 0.00000, 126.56, -30.979, 126.587, -151.028, 126.572, 88.9337, 0, 0, 228.147, 137.64, 238.658, 18.8212, 247.466, -101.166, 15.2885, 127.9
23, 0.00000, 126.557, -30.984, 126.52, -151.166, 126.556, 88.9018, 0, 0, 229.321, 137.622, 270.701, 18.5463, 254.908, -101.239, 38.7033, 166.021
24, 0.00000, 126.602, -30.8924, 126.789, -150.606, 126.624, 89.0397, 0, 0, 208.013, 137.746, 140.277, 20.0765, 222.796, -100.937, 71.4271, 25.4757
