hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 0.388808, 0.0789522, -1.27522E-11, -6.17394E-8, 0.388808, 0.0789522
2, 0.00000, 0.343803, 0.0698127, -9.84624E-12, -6.17878E-8, 0.343806, 0.0698137
3, 0.00000, 0.343806, 0.0698137, -1.68194E-11, -6.1787E-8, 0.343806, 0.0698138
4, 0.00000, 0.184502, 0.037465, -1.75273E-11, -6.19481E-8, 0.1845, 0.0374607
5, 0.00000, 0.364822, 0.0740813, -1.54036E-11, -6.19271E-8, 0.364822, 0.0740814
6, 0.00000, 0.644196, 0.130813, -1.18991E-11, -6.19384E-8, 0.644195, 0.130813
7, 0.00000, 0.184504, 0.0374558, -1.87995E-11, -6.175E-8, 0.184484, 0.0374547
8, 0.00000, 4.75242, 2.62665, 4.42682, -2.55515, 9.15476, 0.0706823
9, 0.00000, 4.60632, 2.60106, 4.44378, -2.56349, 9.0296, 0.0400529
10, 0.00000, 4.77301, 2.63398, 4.46279, -2.56991, 9.21895, 0.0783309
11, 0.00000, 4.77677, 2.62529, 4.4394, -2.57585, 9.22781, 0.0926939
12, 0.00000, 5.1096, 2.68617, 4.46416, -2.55302, 9.54212, 0.159407
13, 0.00000, 5.35531, 2.74207, 4.46467, -2.54471, 9.76956, 0.198707
14, 0.00000, 5.72884, 2.82254, 4.47018, -2.56607, 10.1832, 0.28704
15, 0.00000, 4.85199, 2.65009, 4.48751, -2.56515, 9.31138, 0.101379
16, 0.00000, 6.1326, 2.90909, 4.4755, -2.5634, 10.5816, 0.362438
17, 0.00000, 5.75992, 2.82538, 4.44873, -2.54902, 10.1742, 0.289597
18, 0.00000, 0.868174, 0.176294, 8.07783E-11, -6.12785E-8, 0.868175, 0.176296
19, 0.00000, 1.64693, 0.334459, 9.24724E-11, -6.15921E-8, 1.6469, 0.334472
20, 0.00000, 3.63408, 0.738144, -2.47949E-11, -6.13304E-8, 3.6341, 0.738212
21, 0.00000, 1.41866, 0.288088, -2.56526E-11, -6.12198E-8, 1.41859, 0.288055
22, 0.00000, 5.2663, 1.06962, 2.32739E-11, -6.11301E-8, 5.2663, 1.06961
23, 0.00000, 2.18558, 0.443852, 1.12474E-12, -6.10086E-8, 2.18555, 0.44384
24, 0.00000, 3.07453, 0.624369, 8.08373E-11, -6.15546E-8, 3.0746, 0.624432
