hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.328, -30.5019, 126.721, -150.643, 126.365, 89.3478, 3.14058, -41.9804, 4.87208E-7, -60.631, 3.13967, 77.8693
2, 0.00000, 126.482, -30.344, 126.741, -150.582, 126.401, 89.3612, 2.77368, -41.8225, 4.87513E-7, -60.5727, 2.77548, 77.8827
3, 0.00000, 126.504, -30.3301, 126.737, -150.585, 126.427, 89.3799, 2.77322, -41.8086, 4.87521E-7, -60.5693, 2.77491, 77.9014
4, 0.00000, 126.491, -30.3424, 126.941, -150.418, 126.627, 89.5474, 1.48839, -41.8208, 4.88009E-7, -60.4013, 1.48676, 78.0701
5, 0.00000, 126.487, -30.3434, 126.914, -150.439, 126.591, 89.5185, 2.94312, -41.822, 4.87946E-7, -60.4247, 2.94071, 78.04
6, 0.00000, 126.452, -30.3696, 126.934, -150.425, 126.596, 89.5276, 5.19836, -41.8482, 4.87957E-7, -60.4136, 5.19243, 78.0489
7, 0.00000, 126.829, -30.2156, 126.716, -150.317, 126.745, 89.7909, 1.48442, -41.6912, 4.87309E-7, -60.2995, 1.48524, 78.3145
8, 0.00000, 126.086, -30.6542, 126.255, -151.026, 125.922, 89.0789, 43.0658, -59.5835, 40.484, -121.032, 72.7041, 88.6366
9, 0.00000, 126.237, -30.5186, 126.478, -150.821, 126.152, 89.2542, 41.9049, -59.9708, 40.5619, -120.842, 71.5779, 89
10, 0.00000, 126.245, -30.4951, 126.717, -150.618, 126.315, 89.3899, 43.1825, -59.3871, 40.6406, -120.683, 72.9865, 88.9031
11, 0.00000, 126.067, -30.6977, 126.517, -150.827, 126.43, 89.4727, 43.2362, -59.4907, 40.5682, -120.704, 72.9912, 88.8972
12, 0.00000, 125.685, -30.8839, 126.653, -150.682, 125.844, 89.0871, 45.9297, -58.6153, 40.6042, -120.917, 75.8358, 88.13
13, 0.00000, 125.774, -30.779, 126.599, -150.692, 125.66, 88.9456, 47.8357, -57.8927, 40.5922, -121.011, 77.7623, 87.7804
14, 0.00000, 125.789, -30.7714, 126.813, -150.853, 126.147, 89.0711, 50.7711, -57.0004, 40.6452, -120.996, 80.7574, 87.4565
15, 0.00000, 125.903, -30.6492, 126.974, -150.685, 126.153, 89.0657, 43.911, -59.292, 40.7085, -120.932, 73.8147, 88.4419
16, 0.00000, 125.878, -30.6829, 126.846, -150.812, 126.092, 89.0227, 53.922, -56.0609, 40.6605, -121.009, 83.969, 87.061
17, 0.00000, 125.591, -30.9266, 126.491, -151.132, 125.684, 88.7333, 51.0831, -57.0557, 40.5345, -121.321, 80.9832, 87.1029
18, 0.00000, 125.01, -31.5066, 126.358, -151.005, 125.214, 88.5406, 7.08658, -42.9851, 4.84959E-7, -61.0802, 7.07505, 77.0619
19, 0.00000, 125.237, -31.2956, 126.681, -150.698, 125.47, 88.7228, 13.4189, -42.7751, 4.86198E-7, -60.7843, 13.3938, 77.2426
20, 0.00000, 125.601, -31.1329, 126.378, -150.992, 126.029, 89.0934, 29.5243, -42.6145, 4.85292E-7, -60.9684, 29.4243, 77.6108
21, 0.00000, 125.621, -31.0644, 126.23, -151.082, 125.837, 88.9873, 11.5237, -42.5434, 4.84986E-7, -61.0584, 11.5033, 77.509
22, 0.00000, 125.398, -31.1722, 126.121, -151.151, 125.35, 88.6493, 42.8542, -42.6532, 4.84696E-7, -61.173, 42.8706, 77.1684
23, 0.00000, 125.453, -31.1743, 125.976, -151.291, 125.355, 88.6193, 17.7771, -42.654, 4.84289E-7, -61.2919, 17.7907, 77.1398
24, 0.00000, 125.416, -31.0866, 126.601, -150.718, 125.469, 88.7555, 25.0151, -42.566, 4.86211E-7, -60.793, 25.0052, 77.2752
