hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,V4,VAngle4,I1,IAngle1,I2,IAngle2,I3,IAngle3,I4,IAngle4
1, 0.00000, 126.659, -30.4988, 127.017, -150.573, 126.882, 89.412, 0, 0, 119.635, 131.81, 130.979, 29.7594, 134.973, -96.1864, 27.8641, -134.138
2, 0.00000, 126.729, -30.3475, 127.047, -150.511, 126.887, 89.4232, 0, 0, 84.6438, 129.355, 116.92, 31.2632, 132.403, -96.0342, 32.82, 170.278
3, 0.00000, 126.735, -30.3348, 127.045, -150.514, 126.896, 89.4405, 0, 0, 81.7063, 129.048, 117.575, 31.1879, 128.386, -95.8254, 36.2371, 174.645
4, 0.00000, 126.73, -30.3465, 127.12, -150.357, 126.97, 89.5982, 0, 0, 84.422, 129.346, 82.2772, 37.252, 91.8985, -93.1766, 24.3248, -106.418
5, 0.00000, 126.73, -30.3473, 127.11, -150.377, 126.957, 89.5711, 0, 0, 84.6126, 129.363, 86.7062, 36.2115, 98.1496, -93.7635, 21.1388, -117.778
6, 0.00000, 126.718, -30.3716, 127.116, -150.364, 126.962, 89.58, 0, 0, 90.2219, 129.894, 83.7898, 36.8818, 96.0736, -93.582, 23.8324, -97.6032
7, 0.00000, 126.922, -30.2084, 126.878, -150.304, 126.928, 89.805, 0, 0, 48.5834, 138.314, 71.0105, 18.2065, 45.4516, -101.685, 24.132, -155.552
8, 0.00000, 126.588, -30.6492, 126.853, -150.909, 126.769, 89.1808, 0, 0, 154.488, 133.071, 208.374, 24.9334, 188.719, -98.1564, 58.3546, -166.232
9, 0.00000, 126.649, -30.5206, 126.949, -150.715, 126.848, 89.3443, 0, 0, 124.66, 132.046, 163.5, 27.1961, 150.693, -96.908, 47.2522, -158.001
10, 0.00000, 126.66, -30.4967, 127.04, -150.523, 126.909, 89.4721, 0, 0, 119.147, 131.798, 119.605, 30.9346, 121.03, -95.4782, 32.0167, -111.291
11, 0.00000, 126.568, -30.6926, 126.945, -150.724, 126.944, 89.5484, 0, 0, 164.619, 133.338, 165.596, 27.101, 103.341, -94.3226, 95.8987, -106.133
12, 0.00000, 126.489, -30.8553, 127.01, -150.585, 126.775, 89.1952, 0, 0, 202.505, 134.004, 133.547, 29.4447, 185.332, -98.0992, 57.6562, -28.856
13, 0.00000, 126.537, -30.7537, 127.006, -150.591, 126.711, 89.0633, 0, 0, 178.861, 133.614, 135.008, 29.2798, 216.06, -98.8279, 42.7385, 24.87
14, 0.00000, 126.401, -30.7724, 127.211, -150.723, 126.906, 89.1814, 0, 0, 187.167, 129.799, 166.451, 36.5652, 187.245, -93.8692, 56.1551, -91.2739
15, 0.00000, 126.456, -30.6549, 127.288, -150.561, 126.905, 89.1757, 0, 0, 160.113, 128.544, 131.299, 42.0435, 188.575, -93.8957, 29.21, -58.9306
16, 0.00000, 126.441, -30.6878, 127.23, -150.682, 126.885, 89.1358, 0, 0, 167.665, 128.937, 157.589, 37.6949, 197.783, -94.3454, 29.8762, -98.3497
17, 0.00000, 126.33, -30.9177, 127.08, -150.987, 126.751, 88.8676, 0, 0, 220.756, 130.864, 225.728, 31.1773, 259.871, -96.586, 31.8541, -126.365
18, 0.00000, 126.202, -31.4284, 126.839, -150.938, 126.509, 88.6565, 0, 0, 336.024, 134.85, 214.794, 24.683, 310.75, -100.359, 100.192, -12.8241
19, 0.00000, 126.304, -31.2273, 126.981, -150.645, 126.595, 88.8255, 0, 0, 289.186, 134.696, 147.373, 28.2992, 271.373, -99.7975, 120.086, -3.82834
20, 0.00000, 126.375, -31.0874, 126.846, -150.925, 126.762, 89.1655, 0, 0, 256.51, 134.532, 212.014, 24.8323, 192.202, -98.2485, 83.0548, -79.5551
21, 0.00000, 126.405, -31.0261, 126.813, -150.991, 126.719, 89.0796, 0, 0, 242.225, 134.427, 227.137, 24.2451, 212.224, -98.7441, 56.744, -95.3425
22, 0.00000, 126.358, -31.1203, 126.781, -151.054, 126.564, 88.7674, 0, 0, 264.164, 134.573, 241.712, 23.7366, 284.939, -100.023, 14.5669, -19.5983
23, 0.00000, 126.355, -31.1269, 126.715, -151.187, 126.547, 88.7358, 0, 0, 265.682, 134.585, 272.691, 22.8762, 292.314, -100.125, 15.2998, -150.797
24, 0.00000, 126.4, -31.0327, 126.982, -150.642, 126.615, 88.8685, 0, 0, 243.847, 134.421, 146.619, 28.3193, 261.391, -99.6574, 86.5901, 9.28715
