CODIGO_TRAMO_LINEA_BT,Bus1,Bus2,Phases,Linecode,Length,,
ESE001TBT006205,1,2,3,CPI-3x16 mm²,96.8873,,New Line.ESE001TBT006205 Bus1=1 Bus2=2 phases=3 Linecode=CPI-3x16 mm² Length=96.88731821 Units=m
ESE001TBT006205,2,3,3,CPI-3x16 mm²,96.8873,,New Line.ESE001TBT006205 Bus1=2 Bus2=3 phases=3 Linecode=CPI-3x16 mm² Length=96.88731821 Units=m
ESE001TBT013576,3,4,3,AUT_AL-3x70 mm²,18.2972,,New Line.ESE001TBT013576 Bus1=3 Bus2=4 phases=3 Linecode=AUT_AL-3x70 mm² Length=18.29720649 Units=m
ESE001TBT006205,4,5,3,CPI-3x16 mm²,96.8873,,New Line.ESE001TBT006205 Bus1=4 Bus2=5 phases=3 Linecode=CPI-3x16 mm² Length=96.88731821 Units=m
ESE001TBT007673,5,6,3,AUT_CU-3x25 mm²,71.5014,,New Line.ESE001TBT007673 Bus1=5 Bus2=6 phases=3 Linecode=AUT_CU-3x25 mm² Length=71.50140277 Units=m
ESE001TBT006205,6,7,3,CPI-3x16 mm²,96.8873,,New Line.ESE001TBT006205 Bus1=6 Bus2=7 phases=3 Linecode=CPI-3x16 mm² Length=96.88731821 Units=m
ESE001TBT008599,7,8,3,CPI-3x16 mm²,32.8814,,New Line.ESE001TBT008599 Bus1=7 Bus2=8 phases=3 Linecode=CPI-3x16 mm² Length=32.88140647 Units=m
ESE001TBT007673,8,9,3,AUT_CU-3x25 mm²,71.5014,,New Line.ESE001TBT007673 Bus1=8 Bus2=9 phases=3 Linecode=AUT_CU-3x25 mm² Length=71.50140277 Units=m
ESE001TBT007674,9,10,3,AUT_CU-3x25 mm²,49.3131,,New Line.ESE001TBT007674 Bus1=9 Bus2=10 phases=3 Linecode=AUT_CU-3x25 mm² Length=49.3130653 Units=m
ESE001TBT008599,10,11,3,CPI-3x16 mm²,32.8814,,New Line.ESE001TBT008599 Bus1=10 Bus2=11 phases=3 Linecode=CPI-3x16 mm² Length=32.88140647 Units=m
ESE001TBT008602,11,12,3,AUT_CU-3x25 mm²,21.5891,,New Line.ESE001TBT008602 Bus1=11 Bus2=12 phases=3 Linecode=AUT_CU-3x25 mm² Length=21.58914323 Units=m
ESE001TBT008599,12,13,3,CPI-3x16 mm²,32.8814,,New Line.ESE001TBT008599 Bus1=12 Bus2=13 phases=3 Linecode=CPI-3x16 mm² Length=32.88140647 Units=m
ESE001TBT008602,13,13,3,AUT_CU-3x25 mm²,21.5891,,New Line.ESE001TBT008602 Bus1=13 Bus2=13 phases=3 Linecode=AUT_CU-3x25 mm² Length=21.58914323 Units=m
