hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.1707, 0.00361571, 1.1707, 0.00361571, 1.1707, 0.00361571, 0, 0
2, 0.00000, 0.929971, 0.00252158, 0.929971, 0.00252158, 0.929971, 0.00252158, 0, 0
3, 0.00000, 0.877371, 0.00218015, 0.877371, 0.00218015, 0.877371, 0.00218015, 0, 0
4, 0.00000, 0.554107, 0.000732185, 0.554107, 0.000732185, 0.554107, 0.000732185, 0, 0
5, 0.00000, 0.619454, 0.000976731, 0.619454, 0.000976731, 0.619454, 0.000976731, 0, 0
6, 0.00000, 0.626368, 0.00100485, 0.626368, 0.00100485, 0.626368, 0.00100485, 0, 0
7, 0.00000, 0.821876, 0.00193194, 0.821876, 0.00193194, 0.821876, 0.00193194, 0, 0
8, 0.00000, 2.28478, 0.0170038, 2.28478, 0.0170038, 2.28478, 0.0170038, 0, 0
9, 0.00000, 1.51847, 0.00691972, 1.51847, 0.00691972, 1.51847, 0.00691972, 0, 0
10, 0.00000, 1.36568, 0.00594637, 1.36568, 0.00594637, 1.36568, 0.00594637, 0, 0
11, 0.00000, 1.41527, 0.00502556, 1.41527, 0.00502556, 1.41527, 0.00502556, 0, 0
12, 0.00000, 1.80349, 0.0109826, 1.80349, 0.0109826, 1.80349, 0.0109826, 0, 0
13, 0.00000, 1.84811, 0.012975, 1.84811, 0.012975, 1.84811, 0.012975, 0, 0
14, 0.00000, 1.17732, 0.00379771, 1.17732, 0.00379771, 1.17732, 0.00379771, 0, 0
15, 0.00000, 0.904479, 0.00238456, 0.904479, 0.00238456, 0.904479, 0.00238456, 0, 0
16, 0.00000, 1.47054, 0.00706323, 1.47054, 0.00706323, 1.47054, 0.00706323, 0, 0
17, 0.00000, 2.15593, 0.0150256, 2.15593, 0.0150256, 2.15593, 0.0150256, 0, 0
18, 0.00000, 4.12762, 0.0655571, 4.12762, 0.0655571, 4.12762, 0.0655571, 0, 0
19, 0.00000, 3.27887, 0.0434941, 3.27887, 0.0434941, 3.27887, 0.0434941, 0, 0
20, 0.00000, 2.53017, 0.0193723, 2.53017, 0.0193723, 2.53017, 0.0193723, 0, 0
21, 0.00000, 3.28571, 0.0383747, 3.28571, 0.0383747, 3.28571, 0.0383747, 0, 0
22, 0.00000, 3.42058, 0.0430788, 3.42058, 0.0430788, 3.42058, 0.0430788, 0, 0
23, 0.00000, 3.86296, 0.0546091, 3.86296, 0.0546091, 3.86296, 0.0546091, 0, 0
24, 0.00000, 2.5419, 0.0256281, 2.5419, 0.0256281, 2.5419, 0.0256281, 0, 0
