hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.855, -30.1288, 126.855, -150.129, 126.855, 89.8711, 6.45858, -30.2073, 6.45858, -150.207, 6.45858, 89.7927
2, 0.00000, 126.876, -30.1045, 126.876, -150.105, 126.876, 89.8955, 5.61307, -30.1757, 5.61307, -150.176, 5.61307, 89.8242
3, 0.00000, 126.886, -30.0983, 126.886, -150.098, 126.886, 89.9017, 5.19896, -30.1616, 5.19896, -150.162, 5.19896, 89.8384
4, 0.00000, 126.949, -30.0596, 126.949, -150.06, 126.949, 89.9404, 2.65396, -30.0889, 2.65396, -150.089, 2.65396, 89.9111
5, 0.00000, 126.936, -30.0674, 126.936, -150.067, 126.936, 89.9326, 3.16842, -30.1061, 3.16842, -150.106, 3.16842, 89.8939
6, 0.00000, 126.935, -30.0682, 126.935, -150.068, 126.935, 89.9318, 3.22286, -30.108, 3.22286, -150.108, 3.22286, 89.892
7, 0.00000, 126.903, -30.0905, 126.903, -150.09, 126.903, 89.9095, 4.47598, -30.16, 4.47598, -150.16, 4.47598, 89.84
8, 0.00000, 126.624, -30.264, 126.624, -150.264, 126.624, 89.736, 15.0398, -30.4671, 15.0398, -150.467, 15.0398, 89.5329
9, 0.00000, 126.768, -30.1737, 126.768, -150.174, 126.768, 89.8262, 9.34283, -30.2929, 9.34283, -150.293, 9.34283, 89.7071
10, 0.00000, 126.797, -30.1555, 126.797, -150.155, 126.797, 89.8445, 8.11385, -30.2874, 8.11385, -150.287, 8.11385, 89.7126
11, 0.00000, 126.788, -30.1615, 126.788, -150.161, 126.788, 89.8385, 8.63151, -30.2229, 8.63151, -150.223, 8.63151, 89.7771
12, 0.00000, 126.712, -30.2077, 126.712, -150.208, 126.712, 89.7923, 11.8855, -30.3837, 11.8855, -150.384, 11.8855, 89.6163
13, 0.00000, 126.703, -30.2129, 126.703, -150.213, 126.703, 89.7871, 12.4917, -30.4406, 12.4917, -150.441, 12.4917, 89.5594
14, 0.00000, 126.834, -30.133, 126.834, -150.133, 126.834, 89.867, 7.27869, -30.2056, 7.27869, -150.206, 7.27869, 89.7944
15, 0.00000, 126.887, -30.1004, 126.887, -150.1, 126.887, 89.8996, 5.14995, -30.1764, 5.14995, -150.176, 5.14995, 89.8236
16, 0.00000, 126.783, -30.1668, 126.783, -150.167, 126.783, 89.8332, 9.34411, -30.309, 9.34411, -150.309, 9.34411, 89.691
17, 0.00000, 126.65, -30.2487, 126.65, -150.249, 126.65, 89.7513, 14.6926, -30.4311, 14.6926, -150.431, 14.6926, 89.5689
18, 0.00000, 126.272, -30.4803, 126.272, -150.48, 126.272, 89.5197, 29.0342, -30.9725, 29.0342, -150.973, 29.0342, 89.0275
19, 0.00000, 126.433, -30.3806, 126.433, -150.381, 126.433, 89.6194, 22.9573, -30.8172, 22.9573, -150.817, 22.9573, 89.1828
20, 0.00000, 126.577, -30.2934, 126.577, -150.293, 126.577, 89.7066, 16.8744, -30.4739, 16.8744, -150.474, 16.8744, 89.5261
21, 0.00000, 126.414, -30.3853, 126.414, -150.385, 126.414, 89.6147, 23.8704, -30.6995, 23.8704, -150.699, 23.8704, 89.3005
22, 0.00000, 126.381, -30.4023, 126.381, -150.402, 126.381, 89.5977, 25.4855, -30.7451, 25.4855, -150.745, 25.4855, 89.255
23, 0.00000, 126.293, -30.4549, 126.293, -150.455, 126.293, 89.5451, 28.9692, -30.8331, 28.9692, -150.833, 28.9692, 89.1669
24, 0.00000, 126.554, -30.2977, 126.554, -150.298, 126.554, 89.7023, 18.5668, -30.6047, 18.5668, -150.605, 18.5668, 89.3953
