hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.0478574, -1.37103E-007, 0.0478574, -1.37103E-007, 0.0478574, -1.37103E-007
2, 0.00000, 0.0478581, -1.35848E-007, 0.0478581, -1.35849E-007, 0.0478581, -1.35849E-007
3, 0.00000, 0.0248438, -4.26641E-007, 0.0248438, -4.2664E-007, 0.0248438, -4.26641E-007
4, 0.00000, 0.0296248, -5.84792E-007, 0.0296248, -5.84792E-007, 0.0296248, -5.84792E-007
5, 0.00000, 0.043077, -1.84443E-007, 0.043077, -1.84443E-007, 0.043077, -1.84443E-007
6, 0.00000, 0.0478574, -1.4132E-007, 0.0478574, -1.4132E-007, 0.0478574, -1.41319E-007
7, 0.00000, 0.059943, -8.10124E-008, 0.059943, -8.1012E-008, 0.059943, -8.10119E-008
8, 0.00000, 0.37449, 1.79347E-005, 0.37449, 1.79347E-005, 0.37449, 1.79347E-005
9, 0.00000, 0.142273, 5.46332E-006, 0.142273, 5.46332E-006, 0.142273, 5.46332E-006
10, 0.00000, 0.358462, 1.72687E-005, 0.358462, 1.72687E-005, 0.358462, 1.72687E-005
11, 0.00000, 0.0686472, 4.40402E-007, 0.0686472, 4.40403E-007, 0.0686472, 4.40402E-007
12, 0.00000, 0.0469006, -1.39406E-007, 0.0469006, -1.39407E-007, 0.0469006, -1.39406E-007
13, 0.00000, 0.0478541, -1.40024E-007, 0.0478541, -1.40025E-007, 0.0478541, -1.40025E-007
14, 0.00000, 0.0143382, -1.84332E-006, 0.0143382, -1.84331E-006, 0.0143382, -1.84332E-006
15, 0.00000, 0.0363913, -3.35903E-007, 0.0363913, -3.35904E-007, 0.0363913, -3.35904E-007
16, 0.00000, 0.38646, 1.12586E-005, 0.38646, 1.12586E-005, 0.38646, 1.12586E-005
17, 0.00000, 0.202152, 1.44611E-006, 0.202152, 1.44611E-006, 0.202152, 1.44611E-006
18, 0.00000, 0.734272, 6.62749E-005, 0.734272, 6.62749E-005, 0.734272, 6.62749E-005
19, 0.00000, 0.620933, 5.48586E-005, 0.620933, 5.48586E-005, 0.620933, 5.48586E-005
20, 0.00000, 0.122963, 1.74408E-006, 0.122963, 1.74408E-006, 0.122963, 1.74408E-006
21, 0.00000, 0.749877, 7.48913E-005, 0.749877, 7.48913E-005, 0.749877, 7.48913E-005
22, 0.00000, 0.380393, 1.5586E-005, 0.380393, 1.5586E-005, 0.380393, 1.5586E-005
23, 0.00000, 0.622003, 5.23762E-005, 0.622003, 5.23762E-005, 0.622003, 5.23762E-005
24, 0.00000, 0.166744, 3.69355E-006, 0.166744, 3.69355E-006, 0.166744, 3.69355E-006
