hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 127.017, -30.1007, 127.017, -150.101, 127.017, 89.8993, 0, 0, 9.21692, 149.824, 9.21692, 29.8243, 9.21692, -90.1757, 1.80638E-009, -30.4038
2, 0.00000, 127.017, -30.08, 127.017, -150.08, 127.017, 89.92, 0, 0, 7.32165, 149.846, 7.32165, 29.8463, 7.32165, -90.1537, 1.43124E-009, -30.3503
3, 0.00000, 127.017, -30.0755, 127.017, -150.075, 127.017, 89.9245, 0, 0, 6.90753, 149.859, 6.90753, 29.8594, 6.90753, -90.1406, 1.35127E-009, -30.2834
4, 0.00000, 127.017, -30.0477, 127.017, -150.048, 127.017, 89.9523, 0, 0, 4.36247, 149.927, 4.36247, 29.9271, 4.36247, -90.0729, 8.50938E-010, -30.2765
5, 0.00000, 127.017, -30.0533, 127.017, -150.053, 127.017, 89.9467, 0, 0, 4.87694, 149.912, 4.87694, 29.9122, 4.87694, -90.0878, 9.53573E-010, -30.2175
6, 0.00000, 127.017, -30.0539, 127.017, -150.054, 127.017, 89.9461, 0, 0, 4.93138, 149.911, 4.93138, 29.9106, 4.93138, -90.0894, 9.62472E-010, -30.2664
7, 0.00000, 127.017, -30.0707, 127.017, -150.071, 127.017, 89.9293, 0, 0, 6.47061, 149.867, 6.47061, 29.8672, 6.47061, -90.1328, 1.26598E-009, -30.2845
8, 0.00000, 127.014, -30.1966, 127.014, -150.197, 127.014, 89.8034, 0, 0, 17.9885, 149.574, 17.9885, 29.5741, 17.9885, -90.4259, 3.54903E-009, -30.8813
9, 0.00000, 127.016, -30.1306, 127.016, -150.131, 127.016, 89.8694, 0, 0, 11.955, 149.74, 11.955, 29.7398, 11.955, -90.2602, 2.34693E-009, -30.4743
10, 0.00000, 127.016, -30.1175, 127.016, -150.117, 127.016, 89.8825, 0, 0, 10.752, 149.752, 10.752, 29.7516, 10.752, -90.2484, 2.11166E-009, -30.5257
11, 0.00000, 127.016, -30.1218, 127.016, -150.122, 127.016, 89.8783, 0, 0, 11.1424, 149.798, 11.1424, 29.7976, 11.1424, -90.2024, 2.18121E-009, -30.4252
12, 0.00000, 127.015, -30.1552, 127.015, -150.155, 127.015, 89.8448, 0, 0, 14.1991, 149.652, 14.1991, 29.6518, 14.1991, -90.3482, 2.79695E-009, -30.7104
13, 0.00000, 127.015, -30.159, 127.015, -150.159, 127.015, 89.841, 0, 0, 14.5505, 149.598, 14.5505, 29.5985, 14.5505, -90.4015, 2.87211E-009, -30.8186
14, 0.00000, 127.016, -30.1013, 127.016, -150.101, 127.016, 89.8987, 0, 0, 9.26902, 149.816, 9.26902, 29.8164, 9.26902, -90.1836, 1.81346E-009, -30.3877
15, 0.00000, 127.017, -30.0778, 127.017, -150.078, 127.017, 89.9222, 0, 0, 7.12095, 149.851, 7.12095, 29.8506, 7.12095, -90.1494, 1.39374E-009, -30.381
16, 0.00000, 127.016, -30.1265, 127.016, -150.127, 127.016, 89.8735, 0, 0, 11.5777, 149.726, 11.5777, 29.7258, 11.5777, -90.2742, 2.27427E-009, -30.5713
17, 0.00000, 127.015, -30.1855, 127.015, -150.185, 127.015, 89.8145, 0, 0, 16.974, 149.601, 16.974, 29.6012, 16.974, -90.3988, 3.3471E-009, -30.8038
18, 0.00000, 127.007, -30.3551, 127.007, -150.355, 127.007, 89.6449, 0, 0, 32.5007, 149.09, 32.5007, 29.0901, 32.5007, -90.9099, 6.51227E-009, -31.8228
19, 0.00000, 127.01, -30.2821, 127.01, -150.282, 127.01, 89.7179, 0, 0, 25.8167, 149.24, 25.8167, 29.2402, 25.8167, -90.7598, 5.15357E-009, -31.5273
20, 0.00000, 127.014, -30.2177, 127.014, -150.218, 127.014, 89.7823, 0, 0, 19.9205, 149.562, 19.9205, 29.5617, 19.9205, -90.4383, 3.92629E-009, -30.881
21, 0.00000, 127.011, -30.2827, 127.011, -150.283, 127.011, 89.7173, 0, 0, 25.87, 149.331, 25.87, 29.3311, 25.87, -90.6689, 5.14117E-009, -31.3598
22, 0.00000, 127.01, -30.2943, 127.01, -150.294, 127.01, 89.7057, 0, 0, 26.9322, 149.279, 26.9322, 29.2786, 26.9322, -90.7214, 5.36102E-009, -31.4608
23, 0.00000, 127.009, -30.3323, 127.009, -150.332, 127.009, 89.6677, 0, 0, 30.416, 149.19, 30.416, 29.1902, 30.416, -90.8098, 6.07188E-009, -31.6363
24, 0.00000, 127.013, -30.2187, 127.013, -150.219, 127.013, 89.7813, 0, 0, 20.0133, 149.423, 20.0133, 29.4228, 20.0133, -90.5772, 3.97131E-009, -31.1734
