hour, V1, V2, V3, Vmin, Vmax, V1ev, V2ev, V3ev,V1c, V2c, V3c
1,  126.359,  126.097 , 125.946, 120.65 ,  133.5, 126.359, 125.701, 125.549, 126.362, 126.718, 126.396
2,  126.658,  126.053 , 125.999 , 120.65 , 133.5, 126.658, 125.657, 125.602, 126.498, 126.737, 126.413
3,  126.713,  126.039 , 126.06 , 120.65 ,  133.5, 126.713, 125.643, 125.664, 126.516, 126.733, 126.435
4,  126.681,  126.63  , 126.64 , 120.65 ,  133.5, 126.681, 126.238, 126.248, 126.503, 126.937, 126.637
5,  126.674,  126.547 , 126.534 , 120.65 , 133.5, 126.673, 126.155, 126.141, 126.501, 126.909, 126.6
6,  126.592,  126.622 , 126.578 , 120.65 , 133.5, 126.592, 126.23,  126.186, 126.472, 126.932, 126.614
7,  126.659,  126.216 , 126.185 , 120.65 , 133.5, 126.659, 126.216, 126.185, 126.843, 126.701, 126.744
8,  125.941,  124.852 , 124.938 , 120.65 , 133.5, 125.542, 124.852, 124.532, 126.2, 126.283, 126.063
9,  126.29,   125.444 , 125.569 , 120.65 , 133.5, 125.894, 125.444, 125.168, 126.337, 126.506, 126.28
10, 126.307,  126.169 , 126.118 , 120.65 , 133.5, 125.91 , 126.168, 125.721, 126.351, 126.757, 126.461
11, 125.854,  125.692 , 126.424 , 120.65 , 133.5, 125.455, 125.692, 126.029, 126.16, 126.558, 126.564
12, 124.963,  126.011 , 125.003 , 120.65 , 133.5, 124.553, 126.011, 124.594, 125.887, 126.691, 126.084
13, 125.168,  125.708 , 124.387 , 120.65 , 133.5, 124.760, 125.708, 123.973, 125.98, 126.621, 125.887
14, 125.948,  126.133 , 126.207 , 120.65 , 133.5, 125.309, 125.896, 125.809, 125.915, 126.857, 126.317
15, 126.157,  126.52  , 126.181 , 120.65 , 133.5, 125.521, 126.285, 125.784, 126.016, 127.018, 126.31
16, 126.164,  126.196 , 126.044 , 120.65 , 133.5, 125.527, 125.96,  125.645, 126.003, 126.889, 126.26
17, 125.532,  125.158 , 124.865 , 120.65 , 133.5, 124.886, 124.917, 124.456, 125.754, 126.513, 125.869
18, 123.057,  125.026 , 122.791 , 120.65 , 133.5, 122.806, 124.783, 122.791, 125.249, 126.341, 125.435
19, 123.543,  125.909 , 123.535 , 120.65 , 133.5, 123.295, 125.67,  123.535, 125.453, 126.675, 125.679
20, 124.477,  125.117 , 124.918 , 120.65 , 133.5, 124.232, 124.874, 124.917, 125.723, 126.369, 126.141
21, 124.612,  124.73  , 124.555 , 120.65 , 133.5, 124.612, 124.324, 124.147, 125.728, 126.217, 125.931
22, 124.093,  124.332 , 123.26 , 120.65 ,  133.5, 124.093, 123.924, 122.842, 125.57, 126.099, 125.5
23, 124.191,  123.97  , 123.193 , 120.65 , 133.5, 124.191, 123.559, 122.775, 125.587, 125.955, 125.469
24, 124.075,  125.701 , 123.749 , 120.65 , 133.5, 124.075, 125.302, 123.334, 125.608, 126.595, 125.656
