hour, V1, V2, V3, Vmin, Vmax, V1ev, V2ev, V3ev, V1c, V2c, V3c
1,  126.503,  126.311 , 126.304 , 120.65 , 133.5, 126.502, 126.073, 126.066, 126.448, 126.800,126.564 
2,  126.731,  126.312 , 126.332 , 120.65 , 133.5, 126.731, 126.075, 126.094, 126.568, 126.829,126.576 
3,  126.764,  126.305 , 126.377 , 120.65 , 133.5, 126.763, 126.067, 126.139, 126.582, 126.827,126.594 
4,  126.739,  126.713 , 126.781 , 120.65 , 133.5, 126.739, 126.478, 126.546, 126.571, 126.990,126.757 
5,  126.737,  126.661 , 126.711 , 120.65 , 133.5, 126.737, 126.426, 126.476, 126.57,  126.970,126.729 
6,  126.675,  126.695 , 126.735 , 120.65 , 133.5, 126.675, 126.46,  126.500, 126.545, 126.983,126.739 
7,  126.728,  126.482 , 126.521 , 120.65 , 133.5, 126.728, 126.482, 126.521, 126.859, 126.760,126.819 
8,  126.118,  125.44  , 125.703 , 120.65 , 133.5, 125.877, 125.44,  125.459, 126.293, 126.448,126.321 
9,  126.397,  125.895 , 126.127 , 120.65 , 133.5, 126.159, 125.895, 125.887, 126.415, 126.641,126.493 
10, 126.442,  126.372 , 126.457 , 120.65 , 133.5, 126.204, 126.372, 126.219, 126.436, 126.837,126.626 
11, 125.932,  125.844 , 126.652 , 120.65 , 133.5, 125.691, 125.844, 126.416, 126.231, 126.626,126.704 
12, 125.505,  126.206 , 125.741 , 120.65 , 133.5, 125.258, 126.206, 125.495, 126.061, 126.769,126.336 
13, 125.727,  126.15  , 125.395 , 120.65 , 133.5, 125.481, 126.15,  125.147, 126.158, 126.754,126.198 
14, 126.125,  126.252 , 126.501 , 120.65 , 133.5, 125.646, 126.015, 126.263, 126.009, 126.918,126.472 
15, 126.37,   126.614 , 126.488 , 120.65 , 133.5, 125.893, 126.379, 126.250, 126.118, 127.074,126.467 
16, 126.342,  126.358 , 126.384 , 120.65 , 133.5, 125.865, 126.121, 126.145, 126.097, 126.960,126.425 
17, 125.846,  125.664 , 125.688 , 120.65 , 133.5, 125.362, 125.423, 125.442, 125.878, 126.660,126.14 
18, 124.148,  125.448 , 124.314 , 120.65 , 133.5, 123.899, 125.207, 124.314, 125.487, 126.435,125.767 
19, 124.576,  126.104 , 124.767 , 120.65 , 133.5, 124.33, 125.867,  124.767, 125.679, 126.719,125.948 
20, 124.963,  125.38  , 125.665 , 120.65 , 133.5, 124.719, 125.138, 125.665, 125.83,  126.427,126.306 
21, 125.07,   125.157 , 125.44 , 120.65 ,  133.5, 125.07, 124.912,  125.195, 125.883, 126.346,126.215 
22, 124.796,  124.972 , 124.613 , 120.65 , 133.5, 124.796, 124.725, 124.361, 125.778, 126.274,125.884 
23, 124.825,  124.664 , 124.531 , 120.65 , 133.5, 124.825, 124.416, 124.278, 125.781, 126.142,125.85 
24, 124.938,  125.965 , 124.882 , 120.65 , 133.5, 124.938, 125.725, 124.632, 125.852, 126.689,125.993 
