hour, V1, V2, V3, Vmin, Vmax, P1, P2, P3, V1ev, V2ev, V3ev, V1c, V2c, V3c
1,  126.859,  126.824 , 126.889 , 120.65 , 133.5 , 30.331, 37.0373,  48.116, 126.859, 126.822, 126.887, 126.659,127.017,126.882  
2,  126.929,  126.853 , 126.894 , 120.65 , 133.5 , 23.837, 30.54344, 41.632, 126.929, 126.851, 126.892, 126.729,127.047,126.887 
3,  126.935,  126.852 , 126.902 , 120.65 , 133.5 , 23.044, 29.7484,  40.845, 126.935, 126.850, 126.900, 126.735,127.045,126.896
4,  126.93,   126.925 , 126.975 , 120.65 , 133.5 , 14.162, 20.81475, 32.056, 126.930, 126.923, 126.974, 126.73,127.12,126.97  
5,  126.929,  126.915 , 126.962 , 120.65 , 133.5 , 15.562, 22.2212,  33.446, 126.929, 126.914, 126.961, 126.73,127.11,126.957 
6,  126.918,  126.921 , 126.966 , 120.65 , 133.5 , 15.619, 22.27367, 33.506, 126.918, 126.920, 126.965, 126.718,127.116,126.962 
7,  126.922,  126.878 , 126.928 , 120.65 , 133.5 , 20.575, 20.57631, 20.526, 126.922, 126.878, 126.928, 126.922,126.878,126.928 
8,  126.789,  126.663 , 126.779 , 120.65 , 133.5 , 51.432, 58.2255,  68.863, 126.785, 126.663, 126.776, 126.588,126.853,126.769 
9,  126.849,  126.757 , 126.857 , 120.65 , 133.5 , 37.154, 43.8952,  54.807, 126.846, 126.757, 126.854, 126.649,126.949,126.848 
10, 126.86,   126.847 , 126.917 , 120.65 , 133.5 , 27.079, 33.80104, 44.869, 126.858, 126.847, 126.915, 126.66,127.04,126.909 
11, 126.769,  126.752 , 126.951 , 120.65 , 133.5 , 36.412, 43.1307,  54.126, 126.766, 126.752, 126.950, 126.568,126.945,126.944 
12, 126.69,   126.818 , 126.787 , 120.65 , 133.5 , 47.557, 54.4436,  64.993, 126.685, 126.818, 126.784, 126.489,127.01,126.775 
13, 126.738,  126.816 , 126.724 , 120.65 , 133.5 , 48.740, 55.6479,  66.060, 126.734, 126.816, 126.719, 126.537,127.006,126.711 
14, 126.804,  126.826 , 126.925 , 120.65 , 133.5 , 31.427, 44.8636,  67.043, 126.797, 126.823, 126.923, 126.401,127.211,126.906 
15, 126.858,  126.902 , 126.922 , 120.65 , 133.5 , 23.448, 36.8441,  59.134, 126.853, 126.900, 126.921, 126.456,127.288,126.905 
16, 126.843,  126.845 , 126.903 , 120.65 , 133.5 , 29.133, 42.5527,  64.759, 126.837, 126.843, 126.901, 126.441,127.23,126.885 
17, 126.734,  126.7   , 126.777 , 120.65 , 133.5 , 52.719, 66.2878,  87.945, 126.726, 126.696, 126.773, 126.33,127.08,126.751 
18, 126.406,  126.65  , 126.524 , 120.65 , 133.5 , 91.028, 97.825,   107.188, 126.398, 126.645, 126.524, 126.202,126.839,126.509 
19, 126.506,  126.79  , 126.609 , 120.65 , 133.5 , 71.419, 78.1701,  88.105, 126.500, 126.787, 126.609, 126.304,126.981,126.595 
20, 126.578,  126.655 , 126.773 , 120.65 , 133.5 , 65.145, 71.9088,  82.381, 126.573, 126.650, 126.773, 126.375,126.846,126.762 
21, 126.608,  126.623 , 126.732 , 120.65 , 133.5 , 67.864, 74.697,   84.984, 126.608, 126.618, 126.727, 126.405,126.813,126.719 
22, 126.56,   126.593 , 126.579 , 120.65 , 133.5 , 81.971, 88.8817,  98.501, 126.560, 126.587, 126.572, 126.358,126.781,126.564 
23, 126.557,  126.527 , 126.563 , 120.65 , 133.5 , 86.974, 93.905,   103.451, 126.557, 126.520, 126.556, 126.355,126.715,126.547 
24, 126.602,  126.792 , 126.63 , 120.65 , 133.5 ,  64.323, 71.1545,  81.180, 126.602, 126.789, 126.624, 126.4,126.982,126.615 
