f2_costs,f1_ens,Dmin
10926.93564,518.4,518.4
11634.98033,486,858.7918026
11953.37435,453.600002,1122.198515
12271.76832,421.199998,1409.249627
12590.16243,388.800002,1708.065855
12908.55642,356.4,2013.415527
13226.95049,324,2322.723526
13545.3444,291.599999,2634.595849
13863.73843,259.2,2948.21905
14110.87573,194.4,3189.869311
14182.13258,226.8,3263.088373
14818.92062,162,3895.355117
15137.31455,129.6,4212.373108
15455.70862,97.2,4529.816003
15702.84589,32.4,4776.020208
15774.10249,64.8,4847.600024
16410.89061,0,5483.955021
