hour, V1, V2, V3,PU,Vmin,Vmax
1,126.241,126.241,126.241,127.0170592,120.6662063,133.3679122
2,126.349,126.349,126.349,127.0170592,120.6662063,133.3679122
3,126.42,126.42,126.42,127.0170592,120.6662063,133.3679122
4,126.692,126.692,126.692,127.0170592,120.6662063,133.3679122
5,126.622,126.622,126.622,127.0170592,120.6662063,133.3679122
6,126.608,126.608,126.608,127.0170592,120.6662063,133.3679122
7,126.407,126.407,126.407,127.0170592,120.6662063,133.3679122
8,125.08,125.08,125.08,127.0170592,120.6662063,133.3679122
9,125.857,125.857,125.857,127.0170592,120.6662063,133.3679122
10,125.847,125.847,125.847,127.0170592,120.6662063,133.3679122
11,126.225,126.225,126.225,127.0170592,120.6662063,133.3679122
12,125.407,125.407,125.407,127.0170592,120.6662063,133.3679122
13,125.184,125.184,125.184,127.0170592,120.6662063,133.3679122
14,126.214,126.214,126.214,127.0170592,120.6662063,133.3679122
15,126.324,126.324,126.324,127.0170592,120.6662063,133.3679122
16,125.719,125.719,125.719,127.0170592,120.6662063,133.3679122
17,125.193,125.193,125.193,127.0170592,120.6662063,133.3679122
18,122.803,122.803,122.803,127.0170592,120.6662063,133.3679122
19,123.511,123.511,123.511,127.0170592,120.6662063,133.3679122
20,125.041,125.041,125.041,127.0170592,120.6662063,133.3679122
21,123.938,123.938,123.938,127.0170592,120.6662063,133.3679122
22,123.72,123.72,123.72,127.0170592,120.6662063,133.3679122
23,123.34,123.34,123.34,127.0170592,120.6662063,133.3679122
24,124.387,124.387,124.387,127.0170592,120.6662063,133.3679122
