hour, V1, V2, V3,PU,Vmin,Vmax
1,125.468,125.468,125.468,127.0170592,120.6662063,133.3679122
2,125.578,125.578,125.578,127.0170592,120.6662063,133.3679122
3,125.649,125.649,125.649,127.0170592,120.6662063,133.3679122
4,125.925,125.925,125.925,127.0170592,120.6662063,133.3679122
5,125.854,125.854,125.854,127.0170592,120.6662063,133.3679122
6,125.839,125.839,125.839,127.0170592,120.6662063,133.3679122
7,126.407,126.407,126.407,127.0170592,120.6662063,133.3679122
8,119.509,119.509,119.509,127.0170592,120.6662063,133.3679122
9,120.271,120.271,120.271,127.0170592,120.6662063,133.3679122
10,120.258,120.258,120.258,127.0170592,120.6662063,133.3679122
11,120.64,120.64,120.64,127.0170592,120.6662063,133.3679122
12,119.825,119.825,119.825,127.0170592,120.6662063,133.3679122
13,119.606,119.606,119.606,127.0170592,120.6662063,133.3679122
14,120.623,120.623,120.623,127.0170592,120.6662063,133.3679122
15,120.737,120.737,120.737,127.0170592,120.6662063,133.3679122
16,120.131,120.131,120.131,127.0170592,120.6662063,133.3679122
17,119.618,119.618,119.618,127.0170592,120.6662063,133.3679122
18,122.801,122.801,122.801,127.0170592,120.6662063,133.3679122
19,123.51,123.51,123.51,127.0170592,120.6662063,133.3679122
20,125.04,125.04,125.04,127.0170592,120.6662063,133.3679122
21,123.138,123.138,123.138,127.0170592,120.6662063,133.3679122
22,122.917,122.917,122.917,127.0170592,120.6662063,133.3679122
23,122.531,122.531,122.531,127.0170592,120.6662063,133.3679122
24,123.592,123.592,123.592,127.0170592,120.6662063,133.3679122
