hour,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14
 1,1,0.05100,0.35168,0.05400,0.10167,0.53268,0.47322,0.08192,0.05200,0.04500,0.47198,0.05500,0.08640,0.14357
 2,0.6,0.05100,0.08912,0.10113,0.06770,0.69485,0.50335,0.14048,0.05200,0.10400,0.10190,0.05500,0.07640,0.14357
 3,0.6,0.05100,0.08912,0.09103,0.10167,0.64007,0.52003,0.17340,0.05200,0.04500,0.05500,0.05500,0.07640,0.07453
 4,0.6,0.05100,0.12523,0.06410,0.13103,0.05400,0.11177,0.11573,0.05200,0.06860,0.10190,0.05500,0.04100,0.08887
 5,0.6,0.05100,0.12523,0.10113,0.07403,0.11560,0.14163,0.17340,0.05200,0.10105,0.05500,0.05500,0.08107,0.12923
 6,0.6,0.05100,0.12523,0.10113,0.13862,0.09040,0.14163,0.04900,0.05200,0.08335,0.10190,0.05500,0.14315,0.14357
 7,0.7,0.06000,0.10532,0.11850,0.04023,0.08300,0.05833,0.16113,0.63398,0.10420,0.11815,0.05500,0.04100,0.17983
 8,0.8,0.32260,0.36635,0.57832,0.30858,0.55773,0.88442,0.38867,0.64777,0.14093,0.53330,0.05500,0.07640,1.12333
 9,0.7,0.29477,0.26803,0.42993,0.17250,0.22330,0.51792,0.60960,0.39303,0.08345,0.31312,0.05500,0.04100,0.42675
10,0.7,0.30475,0.12523,0.25453,0.19912,0.08480,0.27128,0.38570,0.05200,0.07745,0.41122,0.05500,0.07640,1.07525
11,0.7,0.25632,0.12523,1.58993,0.42922,0.08480,0.08260,0.33707,0.06492,0.10400,0.11877,0.05500,0.07640,0.20593
12,0.7,0.18117,0.25550,0.66667,0.23632,0.10720,0.10803,0.31142,0.20313,0.10400,1.85505,0.33535,0.15877,0.14070
13,0.7,0.08430,0.12523,0.05400,0.35105,0.06240,0.05087,1.15198,0.22882,0.10400,1.93898,0.27343,0.21515,0.14357
14,0.7,0.05833,0.49433,0.10113,0.81920,0.11560,0.13977,0.18600,0.05200,0.05090,0.10190,0.36072,0.29557,0.04300
15,0.7,0.05100,0.09155,0.10113,0.31418,0.05400,0.08260,0.17340,0.05200,0.58030,0.06170,0.23302,0.10048,0.10917
16,0.8,0.05100,0.28898,0.25133,0.23543,0.36277,0.14630,0.21788,0.05200,0.10400,0.09520,0.23260,0.38560,1.15932
17,0.8,0.06910,0.98022,0.33308,0.29963,0.31320,0.21575,1.12105,0.23523,0.12420,0.19617,0.80382,0.30798,0.60648
18,1,0.31902,0.49503,0.94550,0.51723,0.45748,0.41177,0.65500,0.22778,0.83967,2.66697,1.14260,0.19292,2.20230
19,0.9,0.18872,0.17900,0.47762,0.49283,0.36300,0.23690,0.19125,0.12468,1.07293,2.43605,0.73350,0.36592,1.86237
20,0.8,0.35947,0.15117,2.11312,0.35163,0.43007,0.27803,0.30998,0.16252,0.28695,0.73560,0.36015,0.80738,0.36887
21,0.6,0.16117,0.55312,1.64428,0.55522,0.45170,0.75298,0.46233,0.19103,0.17820,1.33968,0.23148,0.31523,2.24905
22,0.5,0.05100,0.81977,1.20343,0.44625,0.77063,0.84533,0.65915,0.47377,0.22817,1.70092,0.05500,1.16998,1.14110
23,0.5,0.05100,1.14340,1.02840,0.64372,1.37140,0.81838,0.57607,0.48880,0.54883,1.76322,0.05500,0.48563,1.86560
24,0.5,0.05100,0.21744,0.31867,0.65827,0.73425,0.36933,0.23144,0.05200,0.38129,2.75035,0.05500,0.68311,0.50020
