pv_l,pv_m,pv_h,pd_l,pd_m,h,pd_h
0.0,0.0,0.0,76.5,102.0,00,127.5
0.0,0.0,0.0,81.0,108.0,01,135.0
0.0,0.0,0.0,81.0,108.0,02,135.0
0.0,0.0,0.0,83.25,111.0,03,138.75
4.05,5.669999999999999,8.1,81.0,108.0,04,135.0
32.85,45.99,65.7,74.25,99.0,05,123.75
105.3,147.42,210.6,83.25,111.0,06,138.75
202.04999999999998,282.86999999999995,404.09999999999997,117.0,156.0,07,195.0
286.2,400.67999999999995,572.4,155.25,207.0,08,258.75
345.59999999999997,483.8399999999999,691.1999999999999,164.25,219.0,09,273.75
375.75,526.05,751.5,182.25,243.0,10,303.75
378.45,529.8299999999999,756.9,184.5,246.0,11,307.5
355.95,498.3299999999999,711.9,191.25,255.0,12,318.75
308.25,431.54999999999995,616.5,225.0,300.0,13,375.0
238.04999999999998,333.27,476.09999999999997,211.5,282.0,14,352.5
149.85,209.79,299.7,204.75,273.0,15,341.25
62.099999999999994,86.93999999999998,124.19999999999999,168.75,225.0,16,281.25
10.799999999999999,15.119999999999997,21.599999999999998,207.0,276.0,17,345.0
0.0,0.0,0.0,216.0,288.0,18,360.0
0.0,0.0,0.0,200.25,267.0,19,333.75
0.0,0.0,0.0,173.25,231.0,20,288.75
0.0,0.0,0.0,117.0,156.0,21,195.0
0.0,0.0,0.0,87.75,117.0,22,146.25
0.0,0.0,0.0,81.0,108.0,23,135.0
